,정류장번호,정류장명,위도,경도,도시코드,도시명,geometry,이용량,행정동_노인_인구수,총인구수,노인_인구수,노인_이용량_비율,노인_밀집도,활용성
0,CWB379000566,구암고등학교,35.24629644,128.5939782,38010,경상남도 창원시,POINT (1099529.3099473445 1695090.3215359906),478654.0,410959,1003731,276574,0.4094314114040515,0.2755459381049305,195975.98279419486
1,CWB379000567,사격장입구,35.24492343,128.6831562,38010,경상남도 창원시,POINT (1107644.8457543373 1695031.1020157929),464401.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,895019.8023643785
2,CWB379000568,장애인복지회관입구,35.24496023,128.6735972,38010,경상남도 창원시,POINT (1106775.0680812967 1695024.859684883),732161.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,1411061.9777280963
3,CWB379000570,장애인복지회관입구,35.2447727,128.6732432,38010,경상남도 창원시,POINT (1106743.105090053 1695003.6802969584),266638.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,513879.7936757956
4,CWB379000573,지귀상가,35.24477751,128.6594371,38010,경상남도 창원시,POINT (1105486.9448440736 1694989.4555102403),1120637.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,2159754.8374405093
5,CWB379000574,복음요양병원,35.24553815,128.5894545,38010,경상남도 창원시,POINT (1099118.6533434615 1695001.69525906),2430950.0,1960725,1003731,276574,1.9534367275694384,0.2755459381049305,4748707.012884926
6,CWB379000575,지귀상가,35.24454785,128.6596975,38010,경상남도 창원시,POINT (1105510.9349803727 1694964.2610432366),1119515.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,2157592.455752587
7,CWB379000576,봉곡동상가입구,35.24458602,128.6490254,38010,경상남도 창원시,POINT (1104539.8790236893 1694957.2035386222),446064.0,2076333,1003731,276574,2.0686149974445343,0.2755459381049305,922734.6802200987
8,CWB379000577,사림동,35.24423952,128.6758172,38010,경상남도 창원시,POINT (1106978.0022262644 1694947.316925507),267760.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,516042.17536371795
9,CWB379000579,차룡119안전센터,35.24480876,128.6233388,38010,경상남도 창원시,POINT (1102202.4959755966 1694955.1593778525),1095968.0,2354555,1003731,276574,2.345802809716946,0.2755459381049305,2570924.8137598615
10,CWB379000580,까치아파트,35.24435015,128.6656941,38010,경상남도 창원시,POINT (1106056.7969750627 1694948.7245579478),160042.0,1143286,1003731,276574,1.1390362557298719,0.2755459381049305,182293.64043952015
11,CWB379000581,까치아파트,35.24423123,128.6654794,38010,경상남도 창원시,POINT (1106037.417143407 1694935.3059725964),160042.0,1143286,1003731,276574,1.1390362557298719,0.2755459381049305,182293.64043952015
12,CWB379000582,로봇산업진흥재단,35.24615744,128.5140242,38010,경상남도 창원시,POINT (1092255.0469885222 1694997.6709494975),359992.0,3454354,1003731,276574,3.4415137123392623,0.2755459381049305,1238917.4043324357
13,CWB379000583,사림동,35.24391763,128.6758781,38010,경상남도 창원시,POINT (1106983.9661405564 1694911.6822053792),266638.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,513879.7936757956
14,CWB379000584,봉곡동상가입구,35.24424875,128.6489546,38010,경상남도 창원시,POINT (1104533.8701712678 1694919.7229763777),253220.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,488019.86721541925
15,CWB379000585,로봇산업진흥재단,35.24583209,128.5140037,38010,경상남도 창원시,POINT (1092253.550414533 1694961.568449343),359992.0,3454354,1003731,276574,3.4415137123392623,0.2755459381049305,1238917.4043324357
16,CWB379000586,유목교,35.24388893,128.6560128,38010,경상남도 창원시,POINT (1105176.531340851 1694887.2712158323),721528.0,1934447,1003731,276574,1.9272564063479158,0.2755459381049305,1390569.460359399
17,CWB379000587,명서동허앤리병원,35.24393747,128.6479551,38010,경상남도 창원시,POINT (1104443.3290431392 1694884.1474458722),192072.0,2076333,1003731,276574,2.0686149974445343,0.2755459381049305,397323.0197891666
