nodeid,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,geometry,weight
CWB379000566,구암고등학교,35.24629644,128.5939782,2023-10-16,420615.0,38010,경상남도 창원시,창원,POINT (1099529.3099473445 1695090.3215359906),478654.0
CWB379000567,사격장입구,35.24492343,128.6831562,2023-10-16,107508.0,38010,경상남도 창원시,창원,POINT (1107644.8457543373 1695031.1020157929),464401.0
CWB379000568,장애인복지회관입구,35.24496023,128.6735972,2023-10-16,119117.0,38010,경상남도 창원시,창원,POINT (1106775.0680812967 1695024.859684883),732161.0
CWB379000570,장애인복지회관입구,35.2447727,128.6732432,2023-10-16,119118.0,38010,경상남도 창원시,창원,POINT (1106743.105090053 1695003.6802969584),266638.0
CWB379000573,지귀상가,35.24477751,128.6594371,2023-10-16,119111.0,38010,경상남도 창원시,창원,POINT (1105486.9448440736 1694989.4555102403),1120637.0
CWB379000574,복음요양병원,35.24553815,128.5894545,2023-10-16,400124.0,38010,경상남도 창원시,창원,POINT (1099118.6533434615 1695001.69525906),2430950.0
CWB379000575,지귀상가,35.24454785,128.6596975,2023-10-16,119112.0,38010,경상남도 창원시,창원,POINT (1105510.9349803727 1694964.2610432366),1119515.0
CWB379000576,봉곡동상가입구,35.24458602,128.6490254,2023-10-16,117601.0,38010,경상남도 창원시,창원,POINT (1104539.8790236893 1694957.2035386222),446064.0
CWB379000577,사림동,35.24423952,128.6758172,2023-10-16,119119.0,38010,경상남도 창원시,창원,POINT (1106978.0022262644 1694947.316925507),267760.0
CWB379000579,차룡119안전센터,35.24480876,128.6233388,2023-10-16,118809.0,38010,경상남도 창원시,창원,POINT (1102202.4959755966 1694955.1593778525),1095968.0
CWB379000580,까치아파트,35.24435015,128.6656941,2023-10-16,119906.0,38010,경상남도 창원시,창원,POINT (1106056.7969750627 1694948.7245579478),160042.0
CWB379000581,까치아파트,35.24423123,128.6654794,2023-10-16,119909.0,38010,경상남도 창원시,창원,POINT (1106037.417143407 1694935.3059725964),160042.0
CWB379000582,로봇산업진흥재단,35.24615744,128.5140242,2023-10-16,417209.0,38010,경상남도 창원시,창원,POINT (1092255.0469885222 1694997.6709494975),359992.0
CWB379000583,사림동,35.24391763,128.6758781,2023-10-16,119120.0,38010,경상남도 창원시,창원,POINT (1106983.9661405564 1694911.6822053792),266638.0
CWB379000584,봉곡동상가입구,35.24424875,128.6489546,2023-10-16,117602.0,38010,경상남도 창원시,창원,POINT (1104533.8701712678 1694919.7229763777),253220.0
CWB379000585,로봇산업진흥재단,35.24583209,128.5140037,2023-10-16,417208.0,38010,경상남도 창원시,창원,POINT (1092253.550414533 1694961.568449343),359992.0
CWB379000586,유목교,35.24388893,128.6560128,2023-10-16,119109.0,38010,경상남도 창원시,창원,POINT (1105176.531340851 1694887.2712158323),721528.0
CWB379000587,명서동허앤리병원,35.24393747,128.6479551,2023-10-16,114211.0,38010,경상남도 창원시,창원,POINT (1104443.3290431392 1694884.1474458722),192072.0
CWB379000588,내서중학교,35.24631984,128.508754,2023-10-16,401013.0,38010,경상남도 창원시,창원,POINT (1091775.3689870427 1695010.797114738),621637.0
CWB379000589,덕재.롯데캐슬,35.24483093,128.5875128,2023-10-16,400121.0,38010,경상남도 창원시,창원,POINT (1098942.8494134538 1694921.322285897),2491458.0
CWB379000591,창원대학교종점,35.24330606,128.69159327,2023-10-16,120505.0,38010,경상남도 창원시,창원,POINT (1108414.6498749722 1694860.9032080553),951996.0
CWB379000592,명서동허앤리병원,35.24385625,128.6474615,2023-10-16,114212.0,38010,경상남도 창원시,창원,POINT (1104398.5223876368 1694874.6202807932),234263.973776908
CWB379000593,송정마을,35.24503377,128.5510418,2023-10-16,409706.0,38010,경상남도 창원시,창원,POINT (1095624.320738304 1694908.0779898027),5396.0
CWB379000594,차룡119안전센터,35.24404912,128.6239615,2023-10-16,118810.0,38010,경상남도 창원시,창원,POINT (1102260.1061477081 1694871.5505965485),1096748.0
CWB379000595,구슬골,35.24522344,128.5282542,2023-10-16,422804.0,38010,경상남도 창원시,창원,POINT (1093550.7995337064 1694907.4013343225),992456.0
CWB379000596,송정마을,35.24488409,128.5509893,2023-10-16,409707.0,38010,경상남도 창원시,창원,POINT (1095619.7198241204 1694891.4268639195),5396.0
CWB379000597,내서중학교,35.24602623,128.5089331,2023-10-16,401012.0,38010,경상남도 창원시,창원,POINT (1091791.9948282228 1694978.3994497943),621637.0
CWB379000598,사림동농협,35.24302744,128.6854102,2023-10-16,107510.0,38010,경상남도 창원시,창원,POINT (1107852.4378954647 1694823.2668271905),512054.0
CWB379000600,사림동농협,35.24323199,128.6855129,2023-10-16,107509.0,38010,경상남도 창원시,창원,POINT (1107861.5114131097 1694846.0647735693),512054.0
CWB379000601,덕재.롯데캐슬,35.2441913,128.5872821,2023-10-16,400122.0,38010,경상남도 창원시,창원,POINT (1098922.6362207758 1694850.1526671955),2533086.0
CWB379000602,창원의집입구,35.24265281,128.6807386,2023-10-16,119121.0,38010,경상남도 창원시,창원,POINT (1107427.8745291517 1694776.6517908468),331244.0
CWB379000603,농협하나로클럽,35.24292024,128.6532093,2023-10-16,119107.0,38010,경상남도 창원시,창원,POINT (1104922.6992408251 1694776.868857884),832665.0
CWB379000604,용마정비,35.24404105,128.51182105,2023-10-16,417206.0,38010,경상남도 창원시,창원,POINT (1092056.9915546163 1694760.9042640764),414143.0
CWB379000605,구슬골,35.24447614,128.5290676,2023-10-16,422803.0,38010,경상남도 창원시,창원,POINT (1093625.664643877 1694825.287574193),992456.0
CWB379000606,차룡사거리,35.24317944,128.6263182,2023-10-16,118811.0,38010,경상남도 창원시,창원,POINT (1102475.626682128 1694777.5264126905),1095968.0
CWB379000608,용마정비,35.24473658,128.5121251,2023-10-16,417207.0,38010,경상남도 창원시,창원,POINT (1092083.8690267575 1694838.3250533566),414143.0
CWB379000610,창원대학교입구,35.24225663,128.690046,2023-10-16,120503.0,38010,경상남도 창원시,창원,POINT (1108275.263070009 1694742.8236024904),935067.0
CWB379000611,창원의집입구,35.24221533,128.6811025,2023-10-16,119122.0,38010,경상남도 창원시,창원,POINT (1107461.5622864899 1694728.5253552082),330122.0
CWB379000612,창원대학교입구,35.24209118,128.6902507,2023-10-16,120504.0,38010,경상남도 창원시,창원,POINT (1108294.1084125917 1694724.6970367278),935067.0
CWB379000613,삼성창원병원,35.24344644,128.5911962,2023-10-16,420613.0,38010,경상남도 창원시,창원,POINT (1099279.669680901 1694771.4494696124),511712.0
CWB379000614,농협하나로클럽,35.24255802,128.6530763,2023-10-16,119108.0,38010,경상남도 창원시,창원,POINT (1104911.0645142957 1694736.5551238353),831543.0
CWB379000615,차룡사거리,35.24283504,128.6260183,2023-10-16,118812.0,38010,경상남도 창원시,창원,POINT (1102448.7729713856 1694739.0202114708),1096748.0
CWB379000617,아랫구슬골,35.24385319,128.5286229,2023-10-16,421715.0,38010,경상남도 창원시,창원,POINT (1093585.9197370077 1694755.7789386387),5177.0
CWB379000619,창원대삼거리,35.24175676,128.6847949,2023-10-16,107512.0,38010,경상남도 창원시,창원,POINT (1107798.135083338 1694681.6691406053),423013.0
CWB379000620,창원대삼거리,35.24177861,128.6851291,2023-10-16,107511.0,38010,경상남도 창원시,창원,POINT (1107828.5146824918 1694684.4554353184),423013.0
CWB379000621,우영프라자,35.24148128,128.6878827,2023-10-16,120502.0,38010,경상남도 창원시,창원,POINT (1108079.4565608683 1694654.4732719262),950898.0
CWB379000622,아랫구슬골,35.24352149,128.5290703,2023-10-16,421714.0,38010,경상남도 창원시,창원,POINT (1093627.0077704932 1694719.413040684),5177.0
CWB379000623,사림민원센터,35.24151593,128.6814845,2023-10-16,630018.0,38010,경상남도 창원시,창원,POINT (1107497.2429927473 1694651.3694649572),235808.0
CWB379000625,송정,35.24318612,128.5520384,2023-10-16,409705.0,38010,경상남도 창원시,창원,POINT (1095717.1668417677 1694704.1211610278),5396.0
