시설구분,시설명,주소,경도,위도,geometry
공공시설,거제소방서,경상남도 거제시 진목로 1,128.686162892,34.896160085,POINT (1108378.584990667 1656354.5464453714)
공공시설,거창소방서,경상남도 거창군 거창읍 거함대로 3324,127.923447442,35.677620484,POINT (1038319.1459768976 1742460.3798081449)
공공시설,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,128.331066159,34.981093394,POINT (1075854.5206953704 1665446.7824465302)
공공시설,김해동부소방서,경상남도 김해시 김해대로 2507,128.901161541,35.228565412,POINT (1127506.042369337 1693474.9989068522)
공공시설,김해서부소방서,경상남도 김해시 장유로 341,128.817395559,35.196596896,POINT (1119929.8660953986 1689825.0284934551)
공공시설,남해소방서,경상남도 남해군 남해읍 스포츠로 81,127.892610368,34.829581711,POINT (1035900.5637408363 1648399.8212348972)
공공시설,밀양소방서,경상남도 밀양시 밀양대로 1760,128.753405357,35.482811678,POINT (1113702.412311777 1721494.134296509)
공공시설,사천소방서,경상남도 사천시 남일로 29,128.079914824,34.93322097,POINT (1052961.4572565788 1659976.0234272764)
공공시설,양산소방서,경상남도 양산시 물금읍 황산로 719,129.01002803,35.334037335,POINT (1137235.5470561225 1705318.5653306602)
공공시설,의령소방서,경상남도 의령군 의령읍 의병로 108-17,128.248187512,35.319275383,POINT (1068007.7413865787 1702892.1238470087)
공공시설,진주소방서,경상남도 진주시 동진로 249,128.118484514,35.180354362,POINT (1056313.9917070877 1687404.0771549747)
공공시설,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,128.479203495,35.550363329,POINT (1088752.9444436103 1728705.001742079)
공공시설,통영소방서,경상남도 통영시 광도면 죽림4로 49,128.419509,34.883808636,POINT (1084026.4110912664 1654728.6186229838)
공공시설,하동소방서,경상남도 하동군 금성면 금성로 15,127.795562464,34.977864865,POINT (1026977.8661799346 1664813.2362121693)
공공시설,함안소방서,경상남도 함안군 가야읍 선왕길 59,128.399985685,35.286201825,POINT (1081839.3343460085 1699338.8016497218)
공공시설,함양소방서,경상남도 함양군 함양읍 고운로 161-41,127.742029707,35.523871993,POINT (1021943.9493809072 1725352.9044968726)
공공시설,합천소방서,경상남도 합천군 합천읍 인덕로 2453,128.148243938,35.572984491,POINT (1058738.432342597 1730966.165334919)
공공시설,의령경찰서,의령군 의령읍 충익로 53,128.261156519,35.321101701,POINT (1069185.0479653166 1703103.6496855328)
공공시설,함양경찰서,함양군 함양읍 고운로 79,127.730096924,35.521121847,POINT (1020862.7572782853 1725045.3065366265)
공공시설,남해경찰서,남해군 남해읍 화전로 89,127.893073963,34.839566956,POINT (1035938.6161116601 1649507.291881514)
공공시설,하동경찰서,하동군 하동읍 경서대로 139,127.749043193,35.067890785,POINT (1022706.8416181301 1674785.2701778424)
