city_name,city_code,routeid,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime
창원시,38010,CWB379000010,1,마을버스,신전,창원역,0540,2210,40.0,40.0,40.0
창원시,38010,CWB379000020,2,마을버스,유등,창원역,0725,2150,170.0,170.0,170.0
창원시,38010,CWB379000030,3,마을버스,상리,진영시외주차장,0750,1655,220.0,220.0,220.0
창원시,38010,CWB379000070,7,마을버스,창원역,자여입구,0620,2310,11.0,15.0,15.0
창원시,38010,CWB379000080,8,마을버스,창원역,삼성창원병원종점(8),0600,2240,17.0,17.0,17.0
창원시,38010,CWB379000100,10,지선버스,대방동성아파트,북면종점,0605,2200,70.0,70.0,70.0
창원시,38010,CWB379000110,11,지선버스,대방동성아파트,내봉촌,0920,2110,260.0,260.0,260.0
창원시,38010,CWB379000120,12,지선버스,대방동성아파트,북면종점,0510,2005,126.0,126.0,126.0
창원시,38010,CWB379000130,13,지선버스,대방동성아파트,북면종점,0535,2035,255.0,255.0,255.0
창원시,38010,CWB379000140,14,지선버스,대방동성아파트,명촌,0525,2015,250.0,250.0,250.0
창원시,38010,CWB379000150,15,지선버스,창원역,명촌2,0520,1940,205.0,205.0,205.0
창원시,38010,CWB379000170,17,지선버스,불모산종점,북면종점,0500,2236,29.0,29.0,40.0
창원시,38010,CWB379000190,19,지선버스,소계종점,STX칸1차아파트후문,0600,2200,125.0,125.0,125.0
창원시,38010,CWB379000200,20,지선버스,경남대남부터미널종점,북면종점,0600,2235,45.0,45.0,45.0
창원시,38010,CWB379000210,21,지선버스,경남대남부터미널종점,초소,0610,2200,260.0,260.0,260.0
창원시,38010,CWB379000220,22,지선버스,경남대남부터미널종점,명촌,0540,2140,90.0,90.0,90.0
창원시,38010,CWB379000230,23,지선버스,경남대남부터미널종점,남백마을종점,0550,2010,185.0,185.0,185.0
창원시,38010,CWB379000240,24,지선버스,덕동공영차고지,북면종점,0500,2210,70.0,70.0,70.0
창원시,38010,CWB379000270,27,지선버스,가포고등학교,북면종점,0500,2245,24.0,36.0,40.0
창원시,38010,CWB379000300,30,지선버스,대방동성아파트,북면종점,0530,2210,145.0,145.0,145.0
창원시,38010,CWB379000310,31,지선버스,대방동성아파트,본포마을회관,0537,2040,365.0,365.0,365.0
창원시,38010,CWB379000320,32,지선버스,대방동성아파트,상리,0530,2150,190.0,190.0,190.0
창원시,38010,CWB379000330,33,지선버스,무점종점,북면종점,0720,2130,220.0,220.0,220.0
창원시,38010,CWB379000340,34,지선버스,대방동성아파트,무점종점,0540,2135,195.0,195.0,195.0
창원시,38010,CWB379000350,35,지선버스,대방동성아파트,신용삼거리,0550,2000,230.0,230.0,230.0
창원시,38010,CWB379000360,36,지선버스,창원역,유등종점,0640,2000,240.0,240.0,240.0
창원시,38010,CWB379000370,37,지선버스,가술정류장,우성아파트,0700,2150,140.0,140.0,140.0
