gid,lbl,val,point,경도,위도,geometry
마라008419,7.0,7.0,POINT (1100850 1641950),128.60204748242583,34.76706456688826,POINT (1100850.0000000012 1641950.0000000007)
마라044519,20.0,20.0,POINT (1104450 1651950),128.64262404447894,34.85686141229304,POINT (1104449.9999999995 1651950.0000000019)
라라975559,26.0,26.0,POINT (1097550 1655950),128.56762016297543,34.89361137147365,POINT (1097550.0000000005 1655950)
마라087557,13.0,13.0,POINT (1108750 1655750),128.69014849485995,34.890669973752566,POINT (1108750.0000000035 1655750)
마라039555,15.0,15.0,POINT (1103950 1655550),128.637602340156,34.889369729959554,POINT (1103950.000000001 1655550.000000001)
마라039562,18.0,18.0,POINT (1103950 1656250),128.63768935078295,34.89568080296553,POINT (1103949.9999999998 1656250.0000000002)
마라089677,9.0,9.0,POINT (1108950 1667750),128.69390422572283,34.998835280661844,POINT (1108949.999999999 1667750.000000001)
마라092565,47.0,47.0,POINT (1109250 1656550),128.69572390640218,34.897828785247725,POINT (1109249.999999999 1656550.0000000005)
마라035563,45.0,45.0,POINT (1103550 1656350),128.63332466328353,34.89662327849798,POINT (1103549.9999999998 1656350)
마라014559,11.0,11.0,POINT (1101450 1655950),128.61029610997534,34.89322902814675,POINT (1101450.0000000019 1655950)
마라052628,24.0,24.0,POINT (1105250 1662850),128.6527467597731,34.95505058838395,POINT (1105249.999999999 1662850.0000000002)
마라093559,70.0,70.0,POINT (1109350 1655950),128.69673971473333,34.89240863966525,POINT (1109349.9999999988 1655950)
마라043559,23.0,23.0,POINT (1104350 1655950),128.64202897695424,34.89293501189223,POINT (1104350 1655950)
라라999500,9.0,9.0,POINT (1099950 1650050),128.59317811332474,34.840183500616824,POINT (1099949.9999999998 1650049.9999999998)
마라125534,17.0,17.0,POINT (1112550 1653450),128.73141756732528,34.86952001955308,POINT (1112550 1653450.0000000007)
마라079663,17.0,17.0,POINT (1107950 1666350),128.68276642314987,34.986320816107806,POINT (1107949.9999999998 1666350.0000000005)
