city_name,usage,노선정류장수,노선거리(km),굴곡도,2024년06월_계_총인구수,2024년06월_계_연령구간인구수
창원시,33931.0,105,55.9,2.0,"1,003,731","276,574"
창원시,2558.0,83,53.5,1.7,"1,003,731","276,574"
창원시,299.0,74,43.8,2.6,"1,003,731","276,574"
창원시,63612.0,35,21.1,1.0,"1,003,731","276,574"
창원시,68306.0,39,8.8,1.8,"1,003,731","276,574"
창원시,20688.0,124,52.8,1.5,"1,003,731","276,574"
창원시,2024.0,167,79.2,2.0,"1,003,731","276,574"
창원시,11121.0,146,63.5,1.8,"1,003,731","276,574"
창원시,4501.0,161,73.3,1.8,"1,003,731","276,574"
창원시,4389.0,160,77.2,1.8,"1,003,731","276,574"
창원시,1849.0,123,64.7,2.3,"1,003,731","276,574"
창원시,94109.0,151,67.5,1.7,"1,003,731","276,574"
창원시,7820.0,54,32.3,2.4,"1,003,731","276,574"
창원시,51104.0,124,49.9,1.4,"1,003,731","276,574"
창원시,5787.0,157,68.5,1.6,"1,003,731","276,574"
창원시,16043.0,161,70.0,1.6,"1,003,731","276,574"
창원시,6680.0,126,55.1,1.7,"1,003,731","276,574"
창원시,29985.0,137,59.9,1.3,"1,003,731","276,574"
창원시,120052.0,160,67.6,1.8,"1,003,731","276,574"
창원시,10551.0,154,79.3,2.2,"1,003,731","276,574"
창원시,4144.0,180,93.9,2.7,"1,003,731","276,574"
창원시,9474.0,138,75.2,2.2,"1,003,731","276,574"
창원시,1663.0,124,63.2,3.1,"1,003,731","276,574"
창원시,5561.0,97,54.6,1.4,"1,003,731","276,574"
창원시,5835.0,124,65.1,3.2,"1,003,731","276,574"
창원시,1872.0,143,79.4,2.4,"1,003,731","276,574"
창원시,1032.0,57,30.3,2.0,"1,003,731","276,574"
창원시,10333.0,170,82.4,1.8,"1,003,731","276,574"
창원시,5222.0,194,97.3,1.8,"1,003,731","276,574"
창원시,6658.0,130,65.5,1.5,"1,003,731","276,574"
창원시,5355.0,111,56.4,1.5,"1,003,731","276,574"
창원시,6874.0,135,63.2,1.4,"1,003,731","276,574"
창원시,4807.0,85,40.1,1.4,"1,003,731","276,574"
창원시,3175.0,178,91.1,1.8,"1,003,731","276,574"
창원시,5177.0,99,39.7,2.0,"1,003,731","276,574"
창원시,17827.0,109,46.5,1.5,"1,003,731","276,574"
창원시,9098.0,85,37.0,2.2,"1,003,731","276,574"
창원시,4164.0,91,36.7,1.8,"1,003,731","276,574"
창원시,1232.0,65,33.5,2.0,"1,003,731","276,574"
창원시,3672.0,90,51.9,1.8,"1,003,731","276,574"
창원시,2982.0,133,59.7,1.7,"1,003,731","276,574"
창원시,2982.0,99,49.54012738853503,2.0,"1,003,731","276,574"
창원시,15196.0,128,64.8,1.9,"1,003,731","276,574"
창원시,2141.0,166,89.2,4.1,"1,003,731","276,574"
창원시,1049.0,55,28.6,1.6,"1,003,731","276,574"
창원시,6974.0,97,53.5,1.6,"1,003,731","276,574"
창원시,2331.0,47,19.3,1.6,"1,003,731","276,574"
창원시,5175.0,126,85.2,2.3,"1,003,731","276,574"
창원시,1788.0,83,58.8,2.1,"1,003,731","276,574"
창원시,989.0,55,37.1,1.9,"1,003,731","276,574"
창원시,5916.0,136,84.0,2.2,"1,003,731","276,574"
창원시,4473.0,144,101.5,2.0,"1,003,731","276,574"
창원시,1975.0,78,49.1,4.4,"1,003,731","276,574"
창원시,3891.0,196,102.4,2.6,"1,003,731","276,574"
창원시,13856.0,130,73.5,1.4,"1,003,731","276,574"
창원시,11696.0,99,49.54012738853503,2.0,"1,003,731","276,574"
창원시,11696.0,154,88.7,1.4,"1,003,731","276,574"
창원시,36068.0,89,49.2,1.3,"1,003,731","276,574"
창원시,31100.0,95,52.4,1.4,"1,003,731","276,574"
창원시,10159.0,110,63.2,1.4,"1,003,731","276,574"
창원시,1960.0,63,31.7,2.2,"1,003,731","276,574"
창원시,12201.0,126,66.7,2.1,"1,003,731","276,574"
창원시,5730.0,84,47.7,1.4,"1,003,731","276,574"
창원시,29095.0,108,69.3,2.0,"1,003,731","276,574"
창원시,253220.0,137,55.8,2.3,"1,003,731","276,574"
창원시,131093.0,147,61.7,1.9,"1,003,731","276,574"
창원시,167730.0,153,60.7,2.4,"1,003,731","276,574"
창원시,335737.0,131,56.6,1.8,"1,003,731","276,574"
창원시,220604.0,152,65.8,2.1,"1,003,731","276,574"
창원시,115456.0,132,57.0,1.7,"1,003,731","276,574"
창원시,103106.0,124,55.5,1.7,"1,003,731","276,574"
창원시,138892.0,117,52.6,1.6,"1,003,731","276,574"
창원시,168472.0,143,59.4,1.8,"1,003,731","276,574"
창원시,89811.0,168,68.2,1.7,"1,003,731","276,574"
창원시,89207.0,161,66.2,1.6,"1,003,731","276,574"
창원시,186661.0,139,61.7,1.5,"1,003,731","276,574"
창원시,45694.0,154,69.6,1.8,"1,003,731","276,574"
창원시,146843.0,135,61.8,1.8,"1,003,731","276,574"
창원시,74133.0,145,66.7,1.4,"1,003,731","276,574"
창원시,170594.0,146,55.5,1.8,"1,003,731","276,574"
창원시,31407.0,118,54.4,2.6,"1,003,731","276,574"
창원시,96230.0,103,49.2,1.9,"1,003,731","276,574"
창원시,17683.0,81,37.8,1.8,"1,003,731","276,574"
창원시,130050.0,106,48.1,1.4,"1,003,731","276,574"
창원시,57674.0,100,43.6,2.0,"1,003,731","276,574"
