행정기관코드,시도_시군구_읍면동명,계,남자,여자,유아,초등학생,중학생,고등학생,20대,30대,40대,50대,노인
48121250,경상남도 창원시 의창구 동읍,18654,9539,9115,463,814,493,496,1800,1562,2398,4031,6597
48121310,경상남도 창원시 의창구 북면,43128,21637,21491,3759,4073,1419,901,2805,6255,8457,6037,9422
48121320,경상남도 창원시 의창구 대산면,6726,3404,3322,126,160,106,103,434,528,679,1184,3406
48121510,경상남도 창원시 의창구 의창동,49012,24666,24346,2531,2893,1391,1256,5398,6263,7642,9423,12215
48121520,경상남도 창원시 의창구 팔룡동,25343,12910,12433,1266,1283,746,755,3391,3517,3956,5250,5179
48121530,경상남도 창원시 의창구 명곡동,39090,19780,19310,1297,1736,1060,1007,4817,4230,5257,8511,11175
48121540,경상남도 창원시 의창구 봉림동,29806,15751,14055,738,979,575,677,4981,3650,3667,5495,9044
48123510,경상남도 창원시 성산구 반송동,39464,19882,19582,1732,2754,1513,1370,4465,4188,6479,7940,9023
48123515,경상남도 창원시 성산구 용지동,26626,13412,13214,1264,1471,759,684,3367,3711,3983,5180,6207
48123520,경상남도 창원시 성산구 중앙동,35045,19110,15935,1562,1404,689,710,5881,6368,5159,6405,6867
48123530,경상남도 창원시 성산구 상남동,26586,13253,13333,1093,1646,971,915,3272,3343,4096,5602,5648
48123540,경상남도 창원시 성산구 사파동,45192,22425,22767,2048,2427,1307,1321,5424,6863,6784,8977,10041
48123550,경상남도 창원시 성산구 가음정동,37822,19082,18740,2146,2226,1060,1037,4590,5672,5611,7594,7886
48123560,경상남도 창원시 성산구 성주동,25539,13267,12272,1382,1599,810,829,3094,3259,3854,5727,4985
48123570,경상남도 창원시 성산구 웅남동,7222,3843,3379,206,324,198,188,883,828,1030,1325,2240
48125310,경상남도 창원시 마산합포구 구산면,3958,2043,1915,50,74,36,47,197,223,358,597,2376
48125320,경상남도 창원시 마산합포구 진동면,11676,5999,5677,522,736,312,283,832,1059,1933,1895,4104
48125330,경상남도 창원시 마산합포구 진북면,3142,1666,1476,24,44,34,40,170,134,246,555,1895
48125340,경상남도 창원시 마산합포구 진전면,3672,1836,1836,28,43,36,38,137,161,237,572,2420
48125510,경상남도 창원시 마산합포구 현동,13618,6748,6870,1080,1399,415,275,828,1683,2834,1853,3251
