연번,시설명,주소,연락처,등록회원수
1,의창노인복지관,경상남도 창원시 의창구 서곡길15,055-712-0235,12017
2,성산노인복지관,경상남도 창원시 성산구 창이대로 781,055-712-0195,11886
3,마산합포노인복지관,경상남도 창원시 마산합포구 동서남1길 5,055-712-0215,15732
4,금강노인종합복지관(본관),경상남도 창원시 마산합포구 문화북4길 15,055-221-8445,5656
5,금강노인문화센터(분관),경상남도 창원시 마산회원구 회원동로 65,055-247-8445,2621
6,마산회원노인복지관,경상남도 창원시 마산회원구 삼호로 227,055-713-6890,7601
7,진해노인복지관,경상남도 창원시 진해구 천자로 434,055-544-7155,7178
8,진해서부노인복지관,경상남도 창원시 진해구 태평동 96,055-545-3100,4244
9,상락원,경상남도 진주시 판문오동길 115번길 62-33,055-749-6859,4912
10,청락원,경상남도 진주시 모덕로 47번길 40,055-749-6864,8714
11,남강댐효나눔복지관,경상남도 진주시 대평면 한들길 6,055-747-6460,160
12,서부노인종합복지관,경상남도 김해시 덕정로 115,055-310-4800,8074
13,김해시노인종합복지관,경상남도 김해시 김해대로 1902번길 12,055-310-8400,6570
14,김해시동부노인종합복지관,경상남도 김해시 신어산길 46,055-310-8500,5595
15,양산시노인복지관,경상남도 양산시 북안남5길 27,055-367-9790,7705
16,웅상노인복지관,경상남도 양산시 삼호 9길 11,055-366-3388,7581
17,남해군노인복지관,경상남도 남해군 남해읍 망운로 44,055-860-3723,500
18,알프스하동복지관,경상남도 하동군 하동읍 중앙로 89,055-880-9900,2065
19,거창군삶의쉼터 노인복지관,경상남도 거창군 거창읍 거안로 1266-41,055-949-0700,3913
20,합천댐 노인복지관,경상남도 합천군 대병면 회양관광단지길 79-9,055-933-0596,530
