노선아이디,노선명,기점노드아이디,종점노드아이디,기점정류장,종점정류장,지자체코드,지자체명
267000001,1,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000023,10,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000030,100,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000024,11,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000027,12,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000002,2,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000003,21,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000004,22,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000005,3,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000007,31,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000037,32,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000031,322,252000915,252001040,향호리,향호리,267,양양군
267000034,322-1,252000979,252000407,주문진시외버스터미널,주문진시외버스터미널,267,양양군
267000032,325,252000915,252001040,향호리,향호리,267,양양군
267000035,325-1,252000979,252000407,주문진시외버스터미널,주문진시외버스터미널,267,양양군
267000033,326,252000915,252001040,향호리,향호리,267,양양군
267000036,326-1,252000979,252000407,주문진시외버스터미널,주문진시외버스터미널,267,양양군
267000008,33,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000009,5,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000010,51,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000012,6,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000013,7,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000028,7-1,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000014,77,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000015,8,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000016,81,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000029,88,267000224,267000401,양양종합여객터미널,양양종합여객터미널,267,양양군
267000017,9,267000015,267000014,임천리,임천리,267,양양군
267000020,93,255000084,267000014,강원여객속초영업소,임천리,267,양양군
267000021,94,267000021,255000083,양양군보건소,강원여객속초영업소,267,양양군
267000022,95,267000021,267000014,양양군보건소,임천리,267,양양군
254000003,1,254000307,254000306,태백터미널,태백터미널,254,태백시
254000004,1,254000307,254000306,태백터미널,태백터미널,254,태백시
254000009,1,254000306,254000360,태백터미널,황연동주민센터,254,태백시
254000025,1,254000307,254000306,태백터미널,태백터미널,254,태백시
254000001,10,254000307,254000306,태백터미널,태백터미널,254,태백시
254000002,10,254000307,254000306,태백터미널,태백터미널,254,태백시
254000005,11,254000307,254000306,태백터미널,태백터미널,254,태백시
254000006,11,254000307,254000306,태백터미널,태백터미널,254,태백시
254000007,11,254000307,254000306,태백터미널,태백터미널,254,태백시
254000008,11,254000307,254000306,태백터미널,태백터미널,254,태백시
254000010,12,254000307,254000306,태백터미널,태백터미널,254,태백시
254000011,12,254000307,254000306,태백터미널,태백터미널,254,태백시
254000012,12,254000307,254000306,태백터미널,태백터미널,254,태백시
254000013,12,254000307,254000306,태백터미널,태백터미널,254,태백시
254000014,12,254000307,254000306,태백터미널,태백터미널,254,태백시
254000015,13,254000307,254000306,태백터미널,태백터미널,254,태백시
254000016,13,254000307,254000306,태백터미널,태백터미널,254,태백시
254000017,13,254000307,254000306,태백터미널,태백터미널,254,태백시
254000018,13,254000307,254000306,태백터미널,태백터미널,254,태백시
254000019,13,254000307,254000306,태백터미널,태백터미널,254,태백시
