시설명,주소,경도,위도
가곡 경로당,경상남도 창원시 의창구 동읍 신촌본포로442번길 26,128.644385896,35.359032004
고양 경로당 ,경상남도 창원시 의창구 동읍 백월로 540 ,128.654864588,35.305038793
곡목 경로당 ,경상남도 창원시 의창구 동읍 동읍로 359번길 43 ,128.661179593,35.298651114
금동 경로당 ,경상남도 창원시 의창구 동읍 동읍로 835번길 7 ,128.666221058,35.333232725
금산 경로당 ,경상남도 창원시 의창구 동읍 동읍로 670번길 6 ,128.664271216,35.323145187
기로회 경로당 ,경상남도 창원시 의창구 동읍 용잠로 45-5 ,128.689181895,35.279517554
남산경로당 ,경상남도 창원시 의창구 동읍 용남길 10번길 74 ,128.660983694,35.277550412
내단 경로당 ,경상남도 창원시 의창구 동읍 자여로 118번길 7 ,128.703888005,35.273251764
노옥 경로당 ,경상남도 창원시 의창구 동읍노연로 143번길 12 ,,
다호 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 267번길 35 ,,
단산경로당 ,경상남도 창원시 의창구 동읍 자여로 78번길 5 ,128.700738139,35.276108432
달천 경로당 ,경상남도 창원시 의창구 동읍 노연로 69번길 27 ,128.661049972,35.362058421
대한APT 경로당 ,경상남도 창원시 의창구 동읍 신방로 17(대한아파트) ,128.683825686,35.285791532
덕산경로당 ,경상남도 창원시 의창구 동읍 덕산길43번길 8 ,128.674307097,35.271624093
덕천경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 19번길 50 ,128.684041992,35.279653952
동부산2차아파트경로당 ,경상남도 창원시 의창구 동읍 용정길32번길 14(동부산훼미리타운2차) ,128.702796215,35.277439747
동월 경로당 ,경상남도 창원시 의창구 동읍 주남로 128번길 68-2 ,128.685801761,35.303807020
마룡 경로당 ,경상남도 창원시 의창구 동읍 석산길 51번길 8-18 ,128.660155052,35.317353892
모암 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 213번길 7 ,128.674615033,35.293691432
무성 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678
무성1구경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 21 ,128.697656599,35.289621279
무성1구남자경로당 ,경상남도 창원시 의창구 동읍 무성길 47번길 21 ,128.697656599,35.289621279
무성부인 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678
무점 경로당 ,경상남도 창원시 의창구 동읍 무점길 88번길 21-12 ,128.695290335,35.294289350
본포 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1310번길 68 ,128.646182816,35.368321843
봉강 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1141번길 31 ,128.653700045,35.350928771
봉곡 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1057번길  51 ,128.654632496,35.341901322
봉산경로당 ,경상남도 창원시 의창구 동읍 자여로 60번길 11 ,128.699781408,35.276742994
산남 경로당 ,경상남도 창원시 의창구 동읍 봉강가술로 203 ,128.677151388,35.352289398
삼운 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1153 ,128.656562220,35.352412136
삼진아파트경로당 ,"경상남도 창원시 의창구 동읍의창대로915번길 8, (삼진아파트) ",,
석산 경로당 ,경상남도 창원시 의창구 동읍 석산리 16번길 9 ,,
성진2차경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 35 ,128.705608763,35.275651236
성진까치빌라경로당 ,경상남도 창원시 의창구 동읍 단계로 84 ,128.705516957,35.276556750
