격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
라라886488,0.0,128.46947702044733,34.8304117142392,POINT (1088650.0000000007 1648849.999999999),둔덕면,38090350,거제시
마라032361,0.0002683157900134,128.62755849406167,34.71453114539518,POINT (1103250.0000000005 1636149.9999999998),남부면,38090330,거제시
라라986500,0.0,128.57896193777103,34.840310442332914,POINT (1098649.9999999995 1650049.9999999998),거제면,38090340,거제시
마라026687,0.0,128.6250026838187,35.00851027519591,POINT (1102649.9999999998 1668750.0000000012),하청면,38090380,거제시
마라066391,0.0010982645172914,128.66506156213185,34.74122981961074,POINT (1106650.000000001 1639149.9999999998),남부면,38090330,거제시
마라015507,0.0,128.61075961751206,34.8463361671735,POINT (1101550.0000000002 1650750.0000000005),거제면,38090340,거제시
마라016506,0.0,128.611841113481,34.845424577260175,POINT (1101649.9999999993 1650650.0000000005),거제면,38090340,거제시
라라905562,0.0,128.49105284262262,34.89696493082854,POINT (1090549.9999999988 1656249.9999999995),사등면,38090360,거제시
라라944472,0.0,128.53271692004307,34.81546377239135,POINT (1094449.9999999988 1647250.000000001),거제면,38090340,거제시
라라999527,0.0,128.59350017559427,34.864526739544864,POINT (1099950.0000000007 1652750.000000001),거제면,38090340,거제시
라라944473,0.0,128.53272817177535,34.81636539699724,POINT (1094449.9999999986 1647350),거제면,38090340,거제시
라라941508,0.0007121609333682,128.52984127844368,34.84794999919728,POINT (1094150.0000000019 1650850.0000000002),둔덕면,38090350,거제시
라라914547,0.0,128.50073783372918,34.88335988589194,POINT (1091450.0000000019 1654750.0000000005),사등면,38090360,거제시
라라988500,0.0,128.58114904747995,34.840291020951604,POINT (1098849.9999999995 1650049.9999999998),거제면,38090340,거제시
라라951463,0.0,128.54026761779193,34.80728396813962,POINT (1095150.0000000019 1646349.9999999998),거제면,38090340,거제시
라라988502,0.0,128.5811726284623,34.842094234446535,POINT (1098849.9999999995 1650249.9999999995),거제면,38090340,거제시
마라005521,0.0,128.59999135703333,34.85905794940281,POINT (1100550.0000000012 1652150),거제면,38090340,거제시
