시설구분,시설명,주소,경도,위도
공공시설,거제소방서,경상남도 거제시 진목로 1,128.686162892,34.896160085
공공시설,거창소방서,경상남도 거창군 거창읍 거함대로 3324,127.923447442,35.677620484
공공시설,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,128.331066159,34.981093394
공공시설,김해동부소방서,경상남도 김해시 김해대로 2507,128.901161541,35.228565412
공공시설,김해서부소방서,경상남도 김해시 장유로 341,128.817395559,35.196596896
공공시설,남해소방서,경상남도 남해군 남해읍 스포츠로 81,127.892610368,34.829581711
공공시설,밀양소방서,경상남도 밀양시 밀양대로 1760,128.753405357,35.482811678
공공시설,사천소방서,경상남도 사천시 남일로 29,,
공공시설,산청소방서,경상남도 산청군 산청읍 중앙로 76-7,127.883835023,35.415077468
공공시설,양산소방서,경상남도 양산시 물금읍 황산로 719,129.01002803,35.334037335
공공시설,의령소방서,경상남도 의령군 의령읍 의병로 108-17,128.248187512,35.319275383
공공시설,진주소방서,경상남도 진주시 동진로 249,128.118484514,35.180354362
공공시설,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,128.479203495,35.550363329
공공시설,통영소방서,경상남도 통영시 광도면 죽림4로 49,128.419509,34.883808636
공공시설,하동소방서,경상남도 하동군 금성면 금성로 15,127.795562464,34.977864865
공공시설,함안소방서,경상남도 함안군 가야읍 선왕길 59,128.399985685,35.286201825
공공시설,함양소방서,경상남도 함양군 함양읍 고운로 161-41,127.742029707,35.523871993
공공시설,합천소방서,경상남도 합천군 합천읍 인덕로 2453,128.148243938,35.572984491
공공시설,창원중부경찰서,창원시 의창구 상남로 177,,
공공시설,창원서부경찰서,창원시 의창구 우곡로 10,128.636852042,35.251697177
공공시설,마산중부경찰서,창원시 마산합포구 3·15대로 147,128.564123534,35.192226428
공공시설,마산동부경찰서,창원시 마산합포구 합성남17길 56,,
공공시설,진주경찰서,진주시 비봉로24번길 3,128.081896784,35.193075881
공공시설,김해중부경찰서,김해시 김해대로 2307,128.879749015,35.226873506
공공시설,김해서부경찰서,김해시 장유면 계동로 175,,
공공시설,진해경찰서,창원시 진해구 진해대로815,128.703684875,35.156447146
공공시설,통영경찰서,통영시 광도면 죽림3로 53,128.42003333,34.882909987
공공시설,사천경찰서,사천시 남일로 37,128.081072331,34.933433375
공공시설,거제경찰서,거제시 진목1길 2,128.686732216,34.898707071
공공시설,밀양경찰서,밀양시 상남면 밀양대로 1545,128.760899733,35.469333186
공공시설,양산경찰서,양산시 물금읍신주4길 8,129.016542664,35.338208837
공공시설,거창경찰서,거창군 거창읍 중앙로 97,127.909037721,35.686156821
공공시설,합천경찰서,합천군 합천읍 황강체육공원로 67,128.169596788,35.563904336
공공시설,창녕경찰서,창녕군 창녕읍 종로 38-6,128.500715169,35.540627697
공공시설,고성경찰서,고성군 고성읍 중앙로 113,128.333153541,34.976014149
공공시설,하동경찰서,하동군 하동읍 경서대로 139,127.749043193,35.067890785
공공시설,남해경찰서,남해군 남해읍 화전로 89,127.893073963,34.839566956
공공시설,함양경찰서,함양군 함양읍 학사루길 12,127.725832522,35.519350052
공공시설,산청경찰서,산청군 산청읍 중앙로 1,127.874477601,35.416449928
공공시설,함안경찰서,함안군 가야읍 가야로 85,128.41120949,35.278794948
공공시설,의령경찰서,의령군 의령읍 충익로 53,128.261156519,35.321101701
생활편익시설,가곡 경로당,경상남도 창원시 의창구 동읍 신촌본포로442번길 26,128.644385896,35.359032004
생활편익시설,고양 경로당 ,경상남도 창원시 의창구 동읍 백월로 540 ,128.654864588,35.305038793
생활편익시설,곡목 경로당 ,경상남도 창원시 의창구 동읍 동읍로 359번길 43 ,128.661179593,35.298651114
생활편익시설,금동 경로당 ,경상남도 창원시 의창구 동읍 동읍로 835번길 7 ,128.666221058,35.333232725
생활편익시설,금산 경로당 ,경상남도 창원시 의창구 동읍 동읍로 670번길 6 ,128.664271216,35.323145187
생활편익시설,기로회 경로당 ,경상남도 창원시 의창구 동읍 용잠로 45-5 ,128.689181895,35.279517554
생활편익시설,남산경로당 ,경상남도 창원시 의창구 동읍 용남길 10번길 74 ,128.660983694,35.277550412
생활편익시설,내단 경로당 ,경상남도 창원시 의창구 동읍 자여로 118번길 7 ,128.703888005,35.273251764
생활편익시설,노옥 경로당 ,경상남도 창원시 의창구 동읍노연로 143번길 12 ,,
생활편익시설,다호 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 267번길 35 ,,
생활편익시설,단산경로당 ,경상남도 창원시 의창구 동읍 자여로 78번길 5 ,128.700738139,35.276108432
생활편익시설,달천 경로당 ,경상남도 창원시 의창구 동읍 노연로 69번길 27 ,128.661049972,35.362058421
생활편익시설,대한APT 경로당 ,경상남도 창원시 의창구 동읍 신방로 17(대한아파트) ,128.683825686,35.285791532
생활편익시설,덕산경로당 ,경상남도 창원시 의창구 동읍 덕산길43번길 8 ,128.674307097,35.271624093
생활편익시설,덕천경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 19번길 50 ,128.684041992,35.279653952
생활편익시설,동부산2차아파트경로당 ,경상남도 창원시 의창구 동읍 용정길32번길 14(동부산훼미리타운2차) ,128.702796215,35.277439747
생활편익시설,동월 경로당 ,경상남도 창원시 의창구 동읍 주남로 128번길 68-2 ,128.685801761,35.30380702
생활편익시설,마룡 경로당 ,경상남도 창원시 의창구 동읍 석산길 51번길 8-18 ,128.660155052,35.317353892
생활편익시설,모암 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 213번길 7 ,128.674615033,35.293691432
생활편익시설,무성 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678
생활편익시설,무성1구경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 21 ,128.697656599,35.289621279
생활편익시설,무성1구남자경로당 ,경상남도 창원시 의창구 동읍 무성길 47번길 21 ,128.697656599,35.289621279
생활편익시설,무성부인 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678
생활편익시설,무점 경로당 ,경상남도 창원시 의창구 동읍 무점길 88번길 21-12 ,128.695290335,35.29428935
생활편익시설,본포 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1310번길 68 ,128.646182816,35.368321843
생활편익시설,봉강 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1141번길 31 ,128.653700045,35.350928771
생활편익시설,봉곡 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1057번길  51 ,128.654632496,35.341901322
생활편익시설,봉산경로당 ,경상남도 창원시 의창구 동읍 자여로 60번길 11 ,128.699781408,35.276742994
생활편익시설,산남 경로당 ,경상남도 창원시 의창구 동읍 봉강가술로 203 ,128.677151388,35.352289398
생활편익시설,삼운 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1153 ,128.65656222,35.352412136
생활편익시설,삼진아파트경로당 ,"경상남도 창원시 의창구 동읍의창대로915번길 8, (삼진아파트) ",,
생활편익시설,석산 경로당 ,경상남도 창원시 의창구 동읍 석산리 16번길 9 ,,
생활편익시설,성진2차경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 35 ,128.705608763,35.275651236
