시설명,주소,경도,위도
의창노인복지관,경상남도 창원시 의창구 서곡길15,128.648050434,35.252740952
성산노인복지관,경상남도 창원시 성산구 창이대로 781,128.705180187,35.216978958
마산합포노인복지관,경상남도 창원시 마산합포구 동서남1길 5,128.571084418,35.202361703
금강노인종합복지관(본관),경상남도 창원시 마산합포구 문화북4길 15,128.558797219,35.188373762
금강노인문화센터(분관),경상남도 창원시 마산회원구 회원동로 65,128.574900962,35.220150753
마산회원노인복지관,경상남도 창원시 마산회원구 삼호로 227,128.569577599,35.230581880
진해노인복지관,경상남도 창원시 진해구 천자로 434,128.711687236,35.134609003
진해서부노인복지관,경상남도 창원시 진해구 태평동 96,128.669316070,35.144478401
상락원,경상남도 진주시 판문오동길 115번길 62-33,128.033214757,35.183482265
청락원,경상남도 진주시 모덕로 47번길 40,128.102742042,35.185822637
남강댐효나눔복지관,경상남도 진주시 대평면 한들길 6,127.962741271,35.230195216
서부노인종합복지관,경상남도 김해시 덕정로 115,128.798111124,35.180205743
김해시노인종합복지관,경상남도 김해시 김해대로 1902번길 12,128.864831494,35.256378014
김해시동부노인종합복지관,경상남도 김해시 신어산길 46,128.907027220,35.257367837
양산시노인복지관,경상남도 양산시 북안남5길 27,129.041186379,35.345966248
웅상노인복지관,경상남도 양산시 삼호 9길 11,129.172236361,35.414383889
남해군노인복지관,경상남도 남해군 남해읍 망운로 44,127.889683387,34.838279514
알프스하동복지관,경상남도 하동군 하동읍 중앙로 89,127.743258602,35.072063145
거창군삶의쉼터 노인복지관,경상남도 거창군 거창읍 거안로 1266-41,127.888667471,35.685284890
합천댐 노인복지관,경상남도 합천군 대병면 회양관광단지길 79-9,128.017359628,35.524273281
(경남)서부종합사회복지관,경남 사천시 곤양면 서정리 998-1,,
거제시종합사회복지관,경남 거제시 양정1길 45,128.646102596,34.869254523
거창군종합사회복지관,경남 거창군 거창읍 아림로 66,127.909833028,35.689069772
경남종합사회복지관,경남 창원시 마산회원구 팔용로 272,128.600952038,35.248278631
고성군종합사회복지관,경남 고성군 고성읍 동외로 156번길 36,128.327830470,34.975020330
김해시구산사회복지관,경남 김해시 가락로222(구산동),128.877033705,35.246020252
김해시종합사회복지관,경남 김해시 분성로 227,128.870732100,35.232251048
남해군종합사회복지관,경남 남해군 남해읍 망운로 32,127.890429896,34.838533839
내서종합사회복지관,경남 창원특례시 마산회원구 내서읍 상곡로 49,,
도남사회복지관,경남 통영시 발개로 153 도남사회복지관,128.420971313,34.826797439
동부사회복지관,경남 의령군 부림면 신번로 181,128.324495093,35.469379624
마산종합사회복지관,경남 창원시 마산합포구 월영북로 46,128.556799121,35.184263382
밀양시종합사회복지관,경남 밀양시 중앙로 218(삼문동),128.758988113,35.483508676
사천시종합사회복지관,경남 사천시 벌리6길 102,128.085986892,34.941050225
삼천포종합사회복지관,경남 사천시 임내길 36,128.065125998,34.969379084
상하북종합사회복지관,경남 양산시 상북면 삼계동길 27,129.066573557,35.418451963
양산시종합사회복지관,경남 양산시 물금읍 오봉10길 8,129.003673748,35.336081853
옥포종합사회복지관,경남 거제시 옥포대첩로 84,128.695931559,34.894018186
웅상종합사회복지관,경남 양산시 덕계7길 26,129.148751863,35.374808824
의령군종합사회복지관,경남 의령군 의령읍 의병로8길 44,128.255929944,35.315452620
진주시가좌사회복지관,경남 진주시 가호로 26,128.110499022,35.162859941
진주시종합사회복지관,경남 진주시 진양호로 476,128.077659295,35.190800295
진주시평거종합사회복지관,경남 진주시 진양호로125번길 4-1,128.053880531,35.168668366
진해자은종합사회복지관,경남 창원시 진해구 진해대로901번길 7(자은동),128.707708327,35.149363872
창원시진해종합사회복지관,경남 창원시 진해구 진해대로 1101,128.710631647,35.132872750
창원종합사회복지관,경남 창원시 의창구 태복산로31번길 16,128.640799068,35.255349123
통영시종합사회복지관,경남 통영시 안개4길 94,128.432419298,34.859195249
하동군종합사회복지관,경남 하동군 하동읍 오룡정길 25-3,127.741612946,35.072094912
함안군종합사회복지관,경남 함안군 칠원면 삼칠로 155,,
함양군종합사회복지관,경남 함양군 함양읍 필봉산길 55,127.722547070,35.523982800
합천군종합사회복지관,경남 합천군 합천읍 동서로 39,128.156872881,35.567906367
