연번,기초지자체명,구분1,구분2,상호명,개설등록일,소재지,매장면적(제곱미터)
1,창원시,대규모점포,백화점,대동백화점,1995-05-01,경남 창원시 성산구 동산로 115,8123
2,창원시,대규모점포,백화점,㈜신세계 마산점,2001-03-26,경남 창원시 마산합포구 합포로 251(산호동),26675
3,창원시,대규모점포,백화점,롯데백화점 창원점,2001-12-24,(51494) 경남 창원시 성산구 중앙대로 124(상남동),27498
4,창원시,대규모점포,백화점,롯데백화점 마산점,2008-11-26,경남 창원시 마산합포구 동서동로 18(신포동2가),29244
5,창원시,대규모점포,백화점,롯데백화점 창원점 신관,2012-12-20,경남 창원시 성산구 상남로 121(상남동),20536
6,창원시,대규모점포,대형마트,농협하나로마트창원점,1996-12-10,(51176) 경남 창원시 의창구 지귀로12번길 31(봉곡동),7033
7,창원시,대규모점포,대형마트,홈플러스 창원점,2000-10-01,경남 창원시 의창구 창원대로 415(팔용동),30100
8,창원시,대규모점포,대형마트,㈜이마트 창원점,2002-03-15,경남 창원시 성산구 원이대로 608,10909
9,창원시,대규모점포,대형마트,롯데마트 마산점,2002-04-13,경남 창원시 마산합포구 신마산시장길 33,9421
10,창원시,대규모점포,대형마트,롯데마트 진해점,2005-02-28,경남 창원시 진해구 진해대로 762(석동),11631
11,창원시,대규모점포,대형마트,(주)이마트 마산점,2008-01-23,경남 창원시 마산합포구 서성로 3,11192
12,창원시,대규모점포,대형마트,내서농업협동조합 하나로마트,2007-02-06,경남 창원시 마산회원구 내서읍 유통단지로 23,5336
13,창원시,대규모점포,대형마트,롯데마트 시티세븐점,2008-06-05,경남 창원시 의창구 원이대로 320(대원동),10040
14,창원시,대규모점포,대형마트,홈플러스 진해점,2008-06-11,경남 창원시 진해구 충장로 356(이동),12780
15,창원시,대규모점포,대형마트,홈플러스 마산점,2009-04-27,경남 창원시 마산회원구 삼호로 56(양덕동),27679
16,창원시,대규모점포,대형마트,롯데마트 창원중앙점,2010-12-15,경남 창원시 성산구 중앙대로 123,13646
17,창원시,대규모점포,대형마트,롯데마트 마산양덕점,2012-05-02,"(51319) 경상남도 창원시 마산회원구 삼호로 80 (양덕동, 메트로시티 2단지)",15537
18,창원시,대규모점포,그 밖의 대규모점포,뉴코아아울렛 창원점,2004-11-08,(51393) 경남 창원시 의창구 창원대로397번길 6(팔용동),18434
19,창원시,대규모점포,그 밖의 대규모점포,반송아이필 프라자,2006-11-25,경남 창원시 성산구 반송로 148-9(반림동),3170
