시설명,주소,경도,위도
대동백화점,경남 창원시 성산구 동산로 115,128.690472329,35.219180383
㈜신세계 마산점,경남 창원시 마산합포구 합포로 251(산호동),128.586388498,35.219971839
롯데백화점 창원점,(51494) 경남 창원시 성산구 중앙대로 124(상남동),128.681842013,35.224560386
롯데백화점 마산점,경남 창원시 마산합포구 동서동로 18(신포동2가),128.573438520,35.201517837
롯데백화점 창원점 신관,경남 창원시 성산구 상남로 121(상남동),128.682881552,35.224202273
농협하나로마트창원점,(51176) 경남 창원시 의창구 지귀로12번길 31(봉곡동),128.652567236,35.243498457
홈플러스 창원점,경남 창원시 의창구 창원대로 415(팔용동),128.643616172,35.234037131
㈜이마트 창원점,경남 창원시 성산구 원이대로 608,128.680191136,35.226551336
롯데마트 마산점,경남 창원시 마산합포구 신마산시장길 33,128.560727180,35.181340361
롯데마트 진해점,경남 창원시 진해구 진해대로 762(석동),128.698734621,35.158141780
(주)이마트 마산점,경남 창원시 마산합포구 서성로 3,128.569936876,35.197846176
내서농업협동조합 하나로마트,경남 창원시 마산회원구 내서읍 유통단지로 23,128.512767739,35.254938551
롯데마트 시티세븐점,경남 창원시 의창구 원이대로 320(대원동),,
홈플러스 진해점,경남 창원시 진해구 충장로 356(이동),128.691164451,35.153253982
홈플러스 마산점,경남 창원시 마산회원구 삼호로 56(양덕동),128.585741186,35.222650490
롯데마트 창원중앙점,경남 창원시 성산구 중앙대로 123,128.680248253,35.225522669
롯데마트 마산양덕점,"(51319) 경상남도 창원시 마산회원구 삼호로 80 (양덕동, 메트로시티 2단지)",128.585740711,35.225199910
뉴코아아울렛 창원점,(51393) 경남 창원시 의창구 창원대로397번길 6(팔용동),128.642155623,35.234526938
반송아이필 프라자,경남 창원시 성산구 반송로 148-9(반림동),128.671268770,35.235444318
City7 Mall,경남 창원시 의창구 원이대로 320(대원동),,
킹덤시티,경남 창원시 의창구 평산로207번길 4(서상동),128.625893700,35.260200091
롯데몰 진주점,진주시 동진로 440(충무공동),128.139674906,35.180118973
모다아울렛 진주 1호점,진주시 정촌면 삼일로95번길 46,128.098461783,35.132112661
모다아울렛 진주 2호점,진주시 정촌면 삼일로105번길 15,128.098676842,35.130147212
㈜서원유통 탑마트 서진주점,진주시 새평거로 136(평거동),128.061900659,35.170380776
갤러리아백화점 진주점,진주시 진주대로 1095(평안동),128.082343282,35.196742407
홈플러스 진주점,진주시 대신로 304(상대동),128.117722433,35.187588116
㈜이마트 진주점,진주시 진양호로 477(인사동),128.077398751,35.191713034
삼전프라자상가,진주시 도동로 251(하대동),128.121256146,35.192948932
대백아울렛 통영점,통영시 안개로 37,128.430254312,34.859005571
이마트 통영점,통영시 죽림4로 9,128.417971058,34.887158632
대동GVZONE,통영시 원문로 27,128.425565512,34.857254805
롯데마트 통영점,통영시 무전대로 65,128.428248177,34.860672647
삼성타워프라자,통영시 해안로 389,128.429528341,34.844750330
충무데파트종합상설시장,통영시 중앙로 160(중앙동),128.424294471,34.845963199
㈜이마트사천점,사천시 삼천포대교로 591(좌룡동),128.077197425,34.950724458
홈플러스삼천포점,사천시 중앙로 165,128.079972297,34.940532879
코스트코홀세일 김해점,경상남도 김해시 주촌면 천곡리 1522,,
일등마트,경상남도 김해시 활천로267번길 13(삼방동),128.908135566,35.243922177
캐슬아리스타궁,경상남도 김해시 가야로 470,128.885799031,35.239353779
김해터미널쇼핑센터(대형마트:이마트 + 신세계백화점),경상남도 김해시 김해대로 2232(외동),128.872449698,35.229052461
아이스퀘어몰,경상남도 김해시 김해대로 2342(부원동),128.883243672,35.225717538
"넥스틸㈜, ㈜대성철강",경상남도 김해시 진영읍 서부로 76,128.763325745,35.289304087
롯데마트 김해점,경상남도 김해시 김해대로 2330(부원동),128.882049993,35.225550455
㈜프리마건설,경상남도 김해시 분성로 155(외동 한국2차아파트상가),128.865021061,35.230578597
메가마트 김해점,경상남도 김해시 김해대로2492번길 20(삼정동),128.900916603,35.226443168
롯데프리미엄아울렛,경상남도 김해시 장유로 469(신문동),128.829367365,35.184917034
휴앤락몰,경상남도 김해시 내외중앙로 137,128.868568683,35.242180832
롯데마트 장유점,김해시 번화1로56번길 15(대청동),128.801320155,35.193038316
자이언트 가구프라자,경상남도 김해시 한림면 김해대로 1591,128.845251060,35.275267941
홈플러스 김해점,김해시 김해대로 2078(내동),128.870318886,35.241889692
샘솟는 가구마을,경상남도 김해시 한림면 김해대로 1404,128.826250288,35.277119539
한국그랜드쇼핑,경상남도 김해시 함박로 120(외동),128.867059162,35.231730248
어방종합시장,경상남도 김해시 활천로166번길 9(어방동),128.900640692,35.239654091
대동상가,경상남도 김해시 함박로101번길 19(외동),128.864765999,35.233238867
대우유토피아상가,경상남도 김해시 인제로 165(어방동),128.903473491,35.243370736
국제쇼핑타운상가,경상남도 김해시 활천로267번길 13(삼방동),128.908135566,35.243922177
홈플러스 밀양점,밀양시 점필재로45(내이동),128.740770095,35.488909340
롯데마트 거제점,서간도길 9-9(옥포동),128.690757996,34.888788233
디큐브거제백화점,거제시 장평로 12(장평동),128.616400074,34.891063569
홈플러스 거제점,거제시 장평로 12(장평동),128.616400074,34.891063569
박스스토어,양산시 동면 수질정화공원로 40,129.023748172,35.304792946
모다아울렛,양산시 중부로 2 (중부동),129.027462559,35.338994211
이마트 트레이더스 양산점,양산시 평산로 16 (평산동),129.152757059,35.382143149
롯데마트 웅상점,양산시 삼호1길 34 (삼호동),129.166964473,35.412569889
이마트 양산점,양산시 양산역6길 12(중부동),129.026492546,35.336842105
라피에스타 양산점,양산시 물금읍 증산역로 177,129.009377387,35.309866950
산성뿌리전통시장,경상남도 창원시 마산합포구 문화동15길 13,128.561716679,35.181222908
강경젓갈시장,경상남도 함양군 함양읍 용평 중앙길 20,127.728988668,35.518603995
당진전통시장,경상남도 양산시 중앙로 232,129.041196176,35.350450402
대천항종합수산물시장,경상남도 창원시 마산 회원구 합성남8길 76,128.587663460,35.240220183
괴산전통시장,경상남도 창원시 성산구 상남로 71,128.679541596,35.220442395
마로관기시장(관기재래시장),경상남도 김해시 내외중앙로 33,128.866006589,35.232936491
제천중앙시장,경상남도 창원시 성산구 대정로 138,128.707629837,35.211749085
내토전통시장,경상남도 거제시 옥포로19길 12-1,128.689539175,34.894370522
동문전통시장,경상남도 양산시 장터3길 7,129.037026131,35.343377703
제천약초시장,경상남도 남해군 남해읍 화전로110,127.894249782,34.840144066
충주농산물종합시장(중앙청과시장),경상남도 창원시 회원구 양덕북10길 23,128.584255019,35.232678219
충주자유시장,경상남도 밀양시 상설시장1길11,128.752560907,35.493029229
중흥시장,경상남도 창원시 진해구 중초로 20,128.681560994,35.155071848
동강전통시장,경상남도 창원시 성산구 대암로80,128.705297292,35.215008649
구례5일시장,경상남도 창원시 마산합포구 월영남1길 13,128.557754814,35.179279534
중앙식료시장,경상남도 창원시 의창구 명서로116번길 20,128.646205285,35.248476207
자유시장,경상남도 창원시 성산구 신촌로102,128.628329030,35.200851092
신중앙시장,경상남도 김해시 장유로 287-22,128.814577188,35.200435291
(주)서시장,경상남도 창원시 성산구 창이대로 733,128.702142202,35.219592111
굴비골영광시장(구 영광매일시장),경상남도 창원시 의창구 원이대로 69번길 20,128.637288457,35.257305535
영광고추특화시장,경상남도 의령군 의령읍 의병로18길 13,128.260659074,35.318517812
대산전통시장,경상남도 창운시 회원구 석전동15길 23,,
해리전통시장,경상남도 함안군 가야읍 가야8길8,128.406463784,35.277260998
대야전통시장,경상남도 창원시 성산구 중앙대로 77,128.677714127,35.222245807
명산시장,경상남도 창원시 마산합포구 산호시장길 18,128.581761844,35.218469066
군산공설시장,경상남도 합천군 삼가면 일부5길 1,128.122386602,35.412899553
황등시장,경상남도 창원시 의창구 창이대로205번길 5,128.659542070,35.245374948
제일시장상가,경상남도 고성군 고성읍 성내로112번길 75-8,128.323341667,34.972560095
신평전통시장,경상남도 창원시 성산구 용지로 64,128.676024620,35.221680824
봉화내성시장,경상남도 창원시 마산회원구 양덕북12길 113,128.583820569,35.231899442
안동서부시장,경상남도 창원시 성산구 상남로 67,128.679326461,35.220164860
풍산공설시장,경상남도 창원시 마산합포구 반월남1길 18-16,128.561182622,35.189659550
신영주번개시장,경상남도 창원시 마산회원구 석전동 16길,128.579107380,35.236134618
영주종합시장,경상남도 진주시 진주대로 954번길 4,128.088580427,35.185056698
금호공설시장,경상남도 하동군 진교면 선창길 24,127.903914882,35.026790795
울진바지게시장,경상남도 창원시 의창구 용지로225,,
죽변시장,경상남도 창원시 의창구 창이대로 205번길8-3,128.659828317,35.245112027
안계공설시장,경상남도 김해시 진영읍 진영로160번길 13-8,,
의성공설재래시장,경상남도 하동군 화개면 쌍계로 21,127.624238573,35.188640765
안덕시장,경상남도 창원시 마산합포구 동서서4길 2-15,128.572445950,35.205775835
진보시장,경상남도 거제시 옥포로 250,128.690272135,34.896813221
효자시장,경상남도 산청군 산청읍 중앙로 16-1,127.876232274,35.415308803
죽도시장,경상남도 창원시 창원천로 292,128.670092293,35.244897474
청하시장,경상남도 창원시 회원구 합성옛길136,128.583513941,35.237636794
죽도농산물시장,경상남도 창원시 마산합포구 어시장7길126,128.578725062,35.204115132
대명중앙시장,경상남도 창원시 회원구 내서읍 호원로361-2,128.525630693,35.265731229
관문상가시장,경상남도 창원시 마산합포구 진동면 진동시장길 62,128.487346399,35.113306927
관문시장,경상남도 진주시 대신로299번길 7,128.116210607,35.187036428
두류신시장,경상남도 김해시 삼안로 255번길 안길 6-12,,
공항시장,경상남도 창원시 성산구 대정로 131,128.706737518,35.212673850
칠성전자주방시장,경상남도 창원시 의창구 소계로 83-6,128.598965600,35.256758549
서문시장4지구종합대체상가(베네시움),경상남도 창원시 의창구 의안로 49번길 30,128.620695640,35.266180549
김해전통시장(김해동상시장),경상남도 창원시 마산회원구 구암서5길 15,128.590747550,35.248248297
장유전통시장(장유중앙시장),경상남도 거제시 거제읍내로2길 28,,
삼방시장,경상남도 양산시 상북면 삼계4길 2,129.063938253,35.419573994
외동전통시장,경상남도 합천군 초계중앙로 61,128.266839983,35.559312900
덕계종합상설시장,경상남도 창원시 의창구 소계로 99-4,128.598254086,35.257919538
양산북부시장,경상남도 진주시 동부로1993번길 27,128.282209007,35.171219317
대곡시장,경상남도 창원시 마산합포구 북성로 33-1,128.572280847,35.210352646
진주청과시장,경상남도 밀양시 하남읍 시서상가길 5,128.708781157,35.374257184
평거한보하이타운,경상남도 사천시 자구로 473,127.977917384,35.006859384
남지시장,경상남도 거제시 거제중앙로 1906 고현동 ,128.623568577,34.888195258
가음정시장,경상남도 밀양시 삼랑진읍 외송3길 8-1,128.837229673,35.396845769
양곡유신종합상가,경상남도 창원시 의창구 의안로49번길 31-7,128.620745269,35.265751942
통영중앙전통시장,경상남도 창원시 마산 회원구 구암남 14길 8,128.599616893,35.249565069
계천공설시장(계천시장),경상남도 거제시 옥수로2길 10,128.730873715,34.875346277
장성시장,경상남도 거제시 장승포로 49,128.729585537,34.867736573
장전상가시장,경상남도 창녕군 영산면 신영산로56,128.532605133,35.456928629
부산진시장,경상남도 거제시 능포로134-2,128.731933507,34.875414399
초량전통시장,경상남도 양산시 하북면 신평강변3길 11,129.086118238,35.490743987
명장시장,경상남도 합천군 가야면 가야시장로 63-15,128.138367223,35.760244353
국제상가,경상남도 사천시 완사2길 12,127.976224906,35.130761886
부전농수산물새벽시장,경상남도 산청군 단성면 목화로 968번길 17,127.958089330,35.298004235
초읍시장,경상남도 창원시 의창구 반계로 93,128.615835019,35.253604319
신평종합시장,경상남도 사천시 곤양면 남산로 65,127.963346372,35.056534590
신평골목시장,경상남도 함안군 군북면 중암8길 27,128.346946392,35.261046962
아미시장,경상남도 창원시 성산구 신촌로 21,128.626780585,35.207560437
광안시장,경상남도 양산시 서창서2길 5,129.172005316,35.416254464
망미중앙시장,경상남도 창원시 마산회원구 석전남16길64,128.569129190,35.229021710
수영팔도시장,경상남도 하동군 옥종면 옥종사장길 5,,
자갈치시장,경상남도 하동군 금남면 섬진강대로 977-17,127.809498287,34.995988899
만물의거리시장,경상남도 고성군 희화면 배둔로31번길 5,,
재송한마음시장,경상남도 창원시 회원구 3 15대로 747의1,,
신정상가시장,경상남도 합천군 야로면 야로시장길 7-5,,
언양알프스시장,경상남도 창녕군 남지읍 본동길4,128.482490526,35.389124970
덕신2차시장,경상남도 산청군 시천면 남명로 188-5 덕산시장,127.837746193,35.277034212
태화종합시장,경상남도 고성군 영오면 영산리 영회로 527-9,,
울산시장,경상남도 남해군 이동면 무림로 63번길 9,127.953699588,34.801098803
주문진좌판풍물시장,경상남도 창원시 성산구 중앙대로61번길 4,128.676826505,35.221234160
간성전통시장,경상남도 신등면 신차로 500-3,128.011330781,35.377219024
묵호시장,경상남도 창원시 마산합포구 진동시장길 43-7,128.487924208,35.113603307
묵호항 자연산 수산물 판매시장,경상남도 창원시 진해구 웅동로 57,128.782809844,35.125394818
동쪽바다중앙시장,경상남도 함양군 안의면 약초시장길 25-10,127.814036289,35.626304785
속초종합중앙시장,경상남도 함양군 안의면 약초시장길 27,127.813718878,35.625973962
영월종합상가시장,경상남도 함안군 대산면 대산중앙로 219,128.428129261,35.352837895
자유시장,경상남도 의령군 부림면 신번로9길 11,128.325036447,35.468114644
신철원시장,경상남도 거제시 고현로11길 18,128.624828357,34.889022657
동송시장,경상남도 산청군 생초로 35-30,127.835541344,35.492675514
춘천동부시장,경상남도 함안군 칠원면 서남3길14,,
춘천중앙시장,경상남도 밀양시 무안면 사명로510-1,,
춘천후평시장,경상남도 남해군 남면 남서대로 785-4,127.885475115,34.770914956
장성중앙시장,경상남도 하동군 경서대로 2427-14,127.891709103,35.113546527
홍천시장,경상남도 하동군 횡천면 문화2길 24,127.810894449,35.109159231
제주시동문재래시장,경상남도 진주시 대곡면 진의로 1079번길 6,128.168556002,35.263701105
동문시장(주),경상남도 함양군 마천면 천왕봉로 1144-2,127.662681215,35.395649333
화북종합시장,경상남도 창녕군 이방면 이방대학로35-1,,
