일련번호,의료기관명,병상수,소재지,설립구분,개설일자,전화번호,데이터기준일자
1,창원경상국립대학교병원,572,"창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",공공,2016-01-15,055-214-2000,2023-12-31
2,창원한마음병원,758,창원시 의창구 용동로57번길 8 (사림동),민간,2002-04-01,055-225-0000,2023-12-31
3,창원파티마병원,499,창원시 의창구 창이대로 45 (명서동),민간,1983-02-02,055-270-1000,2023-12-31
4,근로복지공단 창원병원,255,창원시 성산구 창원대로 721 (중앙동),공공,1979-11-26,055-280-7619,2023-12-31
5,의료법인청아의료재단청아병원,279,창원시 마산회원구 내서읍 광려천서로 67 (청아병원),민간,2002-07-03,055-230-1500,2023-12-31
6,의료법인합포의료재단에스엠지연세병원,332,"창원시 마산합포구 3·15대로 76 (월남동2가, 합포의료재단)",민간,2002-06-01,055-243-0100,2023-12-31
7,의료법인석영의료재단창원제일종합병원,233,창원시 마산합포구 3·15대로 238 (중앙동3가),민간,2002-05-01,055-223-9000,2023-12-31
8,경상남도마산의료원,298,창원시 마산합포구 3·15대로 231 (중앙동3가),공공,1984-02-23,055-249-1000,2023-12-31
9,학교법인성균관대학삼성창원병원,775,"창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",민간,1981-03-11,055-233-8899,2023-12-31
10,연세에스병원,274,창원시 진해구 해원로32번길 13 (이동),민간,2003-12-05,055-548-7700,2023-12-31
11,한일병원,276,"진주시 범골로 17, 한일병원 지하1, 1~7층 (충무공동)",민간,1993-02-12,055-750-7123,2023-12-31
12,경상국립대학교병원,884,진주시 강남로 79 (칠암동),공공,1986-10-13,055-750-8000,2023-12-31
13,진주고려병원,217,진주시 동진로 2 (칠암동),민간,1984-11-14,055-751-2500,2023-12-31
14,제일병원,226,진주시 진주대로 885 (강남동),민간,1983-03-05,055-759-7777,2023-12-31
15,새통영병원,239,통영시 무전7길 192,민간,2008-08-11,055-646-6000,2023-12-31
16,강일병원,293,김해시 가락로 359 (구산동),민간,2017-03-15,055-822-0100,2023-12-31
17,의료법인환명의료재단 조은금강병원,299,김해시 김해대로 1814-37 (삼계동),민간,2007-01-10,055-330-0300,2023-12-31
18,의료법인숭인의료재단 김해복음병원,299,김해시 활천로 33 (삼정동),민간,2005-11-29,055-330-8888,2023-12-31
19,의료법인보원의료재단 경희대학교 교육협력 중앙병원,,김해시 분성로 94-8 (외동),민간,1997-04-01,055-330-6000,2023-12-31
20,의료법인갑을의료재단 갑을장유병원,200,김해시 장유로 167-13 (부곡동),민간,2005-09-01,055-310-6000,2023-12-31
21,의료법인 성념의료재단맑은샘병원,203,거제시 연초면 거제대로 4477,민간,2013-04-09,055-687-2882,2023-12-31
22,의료법인 대우의료재단대우병원,225,거제시 두모길 16 (두모동),민간,1983-02-19,055-687-8595,2023-12-31
23,의료법인 거붕 백병원,385,거제시 계룡로5길 14 (상동동),민간,1979-02-09,055-633-7599,2023-12-31
24,양산부산대학교병원,"1,200",양산시 물금읍 금오로 20,공공,2008-10-24,055-360-1000,2023-12-31
25,베데스다복음병원,201,양산시 신기로 28 (신기동),민간,1996-05-13,055-384-9901,2023-12-31
26,웅상중앙병원,266,양산시 서창로 59 (명동),민간,2015-02-02,1600-7582,2023-12-31
27,창원튼튼i병원,58,창원시 의창구 원이대로 53 (도계동),민간,2023-06-29,055-265-8277,2023-12-31
28,바른병원,148,"창원시 성산구 창원천로94번길 82-18, 푸른요양병원(A동) (대원동)",민간,2023-04-06,055-270-8802,2023-12-31
29,더서울병원,54,창원시 의창구 천주로 14(서상동),민간,2022-07-15,055-298-3533,2023-12-31
30,창원더키움병원,68,"창원시 의창구 중동중앙로 95, 2층, 3층일부, 5~7층 (중동)",민간,2021-10-15,055-810-8000,2023-12-31
31,의료법인승현의료재단 심산서울병원,168,"창원시 의창구 평산로 96, 웰빙프라자 4-5층 (팔용동)",민간,2021-05-04,055-251-0888,2023-12-31
32,화사랑병원,62,"창원시 의창구 용동로83번안길 3, 화사랑메디컬 3-5층 (사림동)",민간,2019-12-17,055-602-3119,2023-12-31
33,구트병원,61,"창원시 성산구 원이대로 578, 구트병원빌딩 6층,8-12층 (중앙동)",민간,2015-01-28,055-262-9000,2023-12-31
34,굿모닝내과병원,47,창원시 의창구 사화로 6 (팔용동),민간,2014-09-11,055-265-2800,2023-12-31
35,의료법인 상원의료재단 창원힘찬병원,130,창원시 의창구 의창대로 45 (소계동),민간,2013-10-18,055-230-9138,2023-12-31
36,the큰병원,79,"창원시 의창구 우곡로217번길 10 (명서동, 지하1,2층지상2,3,4,5,6,7,8층)",민간,2009-11-23,055-270-0800,2023-12-31
37,모란여성병원,32,"창원시 성산구 마디미서로 56 (상남동, 2,3,4,5,6,7,10층)",민간,2009-04-08,055-253-3555,2023-12-31
38,메트로병원,240,창원시 의창구 평산로219번길 3 (중동),민간,2008-09-08,055-259-7700,2023-12-31
39,상남굿모닝내과병원,36,"창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩6,7층)",민간,2007-06-29,055-266-7582,2023-12-31
40,씽씽(singsing)병원,47,"창원시 성산구 중앙대로 104, 마이우스빌딩 301.201-2호 (상남동)",민간,2006-10-25,055-715-6200,2023-12-31
41,허&리병원,84,"창원시 의창구 지귀로 6 (봉곡동, 1,2,3,5,6층)",민간,2005-09-26,055-288-7577,2023-12-31
42,서울패밀리병원,65,"창원시 성산구 마디미서로 54, 서울아동병원(2,7,8,9,11,12층) (상남동)",민간,2003-03-04,055-262-8511,2023-12-31
43,창원중앙병원,150,창원시 성산구 대암로 40-4 (남양동),민간,1995-03-09,055-289-9111,2023-12-31
44,윤병원,44,창원시 의창구 서상로12번길 57 (서상동),민간,1993-03-17,055-255-7100,2023-12-31
45,홍익재활병원,30,창원시 성산구 신촌로134번길 43 (신촌동),민간,1990-02-09,055-286-1518,2023-12-31
46,의료법인신화성의료재단 잘본병원,148,창원시 마산회원구 합포로 285(양덕동),민간,2022-05-12,055-253-2000,2023-12-31
