시설명,주소,경도,위도
창원경상국립대학교병원,"창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",128.707926040,35.199223969
근로복지공단 창원병원,창원시 성산구 창원대로 721 (중앙동),128.671707960,35.218271478
경상남도마산의료원,창원시 마산합포구 3·15대로 231 (중앙동3가),128.565560868,35.199152773
경상국립대학교병원,진주시 강남로 79 (칠암동),128.095092777,35.176292771
양산부산대학교병원,양산시 물금읍 금오로 20,129.005528310,35.326887852
해군해양의료원,창원시 진해구 진해대로963번길 35 (자은동),128.712909452,35.146320195
공군교육사 기지병원,진주시 금산면 송백로 46,,
통영적십자병원,통영시 중앙로 97,128.419842373,34.842411869
거창적십자병원,거창군 거창읍 중앙로 91,127.908920551,35.686927177
양산부산대학교치과병원,양산시 물금읍 금오로 20,129.005528310,35.326887852
양산부산대학교한방병원,양산시 물금읍 금오로 20 (양산부산대학교병원),129.006409003,35.328773998
시립창원요양병원,창원시 의창구 북면 단내로 499-32,128.574296230,35.349353025
시립마산요양병원,창원시 마산합포구 현동로 15 (우산동),128.551864075,35.154004381
의료법인 행복한의료재단 경남도립사천노인전문병원,사천시 축동면 서삼로 1110-35,128.044443286,35.093509132
경상남도립양산노인전문병원,양산시 상북면 양산대로 1870-64,129.071190534,35.429837814
의령군립노인전문병원,의령군 부림면 대한로 1655,128.313185888,35.464617306
남해군립노인전문병원,남해군 남해읍 화전로 ,127.893700056,34.838562738
국립마산병원,"창원시 마산합포구 가포로 215 (가포동, 국립마산병원)",128.566117005,35.168435403
국립부곡병원,창녕군 부곡면 부곡로 145,128.613583966,35.435184907
해군해양한의원,"창원시 진해구 진해대로963번길 35, 해군해양의료원 (자은동)",128.712909452,35.146320195
경남지방병무청,창원시 성산구 중앙대로250번길 13 (신월동),128.691155444,35.234153909
진주교도소부속의원,진주시 대곡면 월암로23번길 39,,
진주교도소부속치과의원,진주시 대곡면 월암로23번길 39,,
통영구치소 부속의원,통영시 용남면 용남해안로 277,,
공군 제3훈련비행단 항공의무대대,사천시 사천읍 사천대로 1949(사서함336-17호),,
밀양구치소 부설의원,밀양시 부북면 춘화로 124,,
제39보병사단 의무근무대,함안군 군북면 함마대로 848,,
거창구치소 부속의원,"거창군 거창읍 거열산성로 73, 거창구치소",127.894348666,35.692129060
창원한마음병원,창원시 의창구 용동로57번길 8 (사림동),128.698677404,35.237961418
창원파티마병원,창원시 의창구 창이대로 45 (명서동),128.646764907,35.237454893
의료법인청아의료재단청아병원,창원시 마산회원구 내서읍 광려천서로 67 (청아병원),128.509615036,35.247990560
의료법인합포의료재단에스엠지연세병원,"창원시 마산합포구 3·15대로 76 (월남동2가, 합포의료재단)",128.561596727,35.186299129
의료법인석영의료재단창원제일종합병원,창원시 마산합포구 3·15대로 238 (중앙동3가),128.567655977,35.199252306
학교법인성균관대학삼성창원병원,"창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",128.591172840,35.242452215
연세에스병원,창원시 진해구 해원로32번길 13 (이동),128.698414702,35.154720171
한일병원,"진주시 범골로 17, 한일병원 지하1, 1~7층 (충무공동)",128.128569244,35.166977195
진주고려병원,진주시 동진로 2 (칠암동),128.092040295,35.178621885
제일병원,진주시 진주대로 885 (강남동),128.090517091,35.179392775
새통영병원,통영시 무전7길 192,128.420655863,34.865386225
강일병원,김해시 가락로 359 (구산동),128.869603254,35.256698298
의료법인환명의료재단 조은금강병원,김해시 김해대로 1814-37 (삼계동),128.861525278,35.262180281
의료법인숭인의료재단 김해복음병원,김해시 활천로 33 (삼정동),128.893053742,35.230764302
의료법인보원의료재단 경희대학교 교육협력 중앙병원,김해시 분성로 94-8 (외동),128.857092982,35.230804859
