rigeon1,nodeid1,routeid1
38010,CWB379003142,"['CWB379000010', 'CWB379000030', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000045,"['CWB379000010', 'CWB379000030', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000041,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000022,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000027,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003112,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000026,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000032,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003282,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003253,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379002018,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000068,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000073,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000410']"
38010,CWB379000108,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000410']"
38010,CWB379000141,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000410']"
38010,CWB379000153,"['CWB379000010', 'CWB379000020', 'CWB379000030', 'CWB379000310', 'CWB379000360', 'CWB379000370', 'CWB379000410']"
38010,CWB379003024,"['CWB379000010', 'CWB379000020', 'CWB379000030', 'CWB379000310', 'CWB379000360', 'CWB379000370', 'CWB379000410']"
38010,CWB379003105,"['CWB379000010', 'CWB379000020', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379003384,"['CWB379000010', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379000151,"['CWB379000010', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379003400,"['CWB379000010', 'CWB379000010', 'CWB379000030']"
38010,CWB379003401,"['CWB379000010', 'CWB379000030']"
38010,CWB379003369,"['CWB379000010', 'CWB379000030', 'CWB379030000']"
38010,CWB379003531,"['CWB379000010', 'CWB379000030']"
38010,CWB379002017,"['CWB379000010', 'CWB379000020', 'CWB379030000']"
38010,CWB379002015,"['CWB379000010', 'CWB379000020', 'CWB379030000']"
38010,CWB379002013,"['CWB379000010', 'CWB379000020', 'CWB379030000']"
38010,CWB379000198,"['CWB379000010', 'CWB379000020', 'CWB379000420', 'CWB379030000']"
38010,CWB379003015,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000211,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379003013,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000220,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000224,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379003113,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379003377,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000240,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000247,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000255,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
